,realtime_start,date,value,series_id,description,dtime
505,2010-05-13,2010-05-08,444000.0,ICSA, Initial Claims,2010-05-08
1227,2010-05-27,2010-05-15,4607000.0,CCSA, Continued Claims ,2010-05-15
506,2010-05-20,2010-05-15,471000.0,ICSA, Initial Claims,2010-05-15
507,2010-05-27,2010-05-22,460000.0,ICSA, Initial Claims,2010-05-22
1228,2010-06-03,2010-05-22,4666000.0,CCSA, Continued Claims ,2010-05-22
1229,2010-06-10,2010-05-29,4462000.0,CCSA, Continued Claims ,2010-05-29
508,2010-06-03,2010-05-29,453000.0,ICSA, Initial Claims,2010-05-29
213,2011-02-02,2010-06-01,106936.0,NPPTTL, ADP,2010-06-01
3274,2011-03-04,2010-06-01,16.5,U6Rate, Unemployed plus Marginally Attached ,2010-06-01
2287,2013-06-03,2010-06-01,98.4463584493916,CSCICP03USM665S, OECD US Consumer Confidence,2010-06-01
2965,2010-07-02,2010-06-01,153741.0,CLF16OV, Civilian Labor Force,2010-06-01
2482,2013-06-03,2010-06-01,100.672109849721,BSCICP03USM665S, OECD Business Confidence,2010-06-01
2800,2010-07-02,2010-06-01,14623.0,UNEMPLOY, Unemployment Level,2010-06-01
41,2010-07-02,2010-06-01,107700.0,USPRIV, BLS private,2010-06-01
2635,2010-07-02,2010-06-01,9.5,UNRATE, Unemployment Rate,2010-06-01
2133,2010-08-11,2010-06-01,3811.0,JTS1000TSL,  Total Separations: Total Private ,2010-06-01
3130,2010-07-02,2010-06-01,6751.0,UEMP27OV, Unemployed for 27 Weeks,2010-06-01
3460,2010-07-02,2010-06-01,64.7,CIVPART, Civilian Participation Rate,2010-06-01
1952,2010-08-11,2010-06-01,3931.0,JTS1000HIL,  Hires: Total Private ,2010-06-01
3626,2011-05-06,2010-06-01,8631.0,LNS12032194, Part-Time for Econ Reasons,2010-06-01
1789,2010-08-11,2010-06-01,2544.0,JTS1000JOL, Job Openings: Total Private,2010-06-01
509,2010-06-10,2010-06-05,456000.0,ICSA, Initial Claims,2010-06-05
1230,2010-06-17,2010-06-05,4571000.0,CCSA, Continued Claims ,2010-06-05
510,2010-06-17,2010-06-12,472000.0,ICSA, Initial Claims,2010-06-12
1231,2010-06-24,2010-06-12,4548000.0,CCSA, Continued Claims ,2010-06-12
1232,2010-07-01,2010-06-19,4616000.0,CCSA, Continued Claims ,2010-06-19
511,2010-06-24,2010-06-19,457000.0,ICSA, Initial Claims,2010-06-19
1233,2010-07-08,2010-06-26,4413000.0,CCSA, Continued Claims ,2010-06-26
512,2010-07-01,2010-06-26,472000.0,ICSA, Initial Claims,2010-06-26
2966,2010-08-06,2010-07-01,153560.0,CLF16OV, Civilian Labor Force,2010-07-01
3275,2011-03-04,2010-07-01,16.5,U6Rate, Unemployed plus Marginally Attached ,2010-07-01
2142,2010-09-08,2010-07-01,3941.0,JTS1000TSL,  Total Separations: Total Private ,2010-07-01
3616,2011-05-06,2010-07-01,8533.0,LNS12032194, Part-Time for Econ Reasons,2010-07-01
2504,2013-06-03,2010-07-01,100.480185035653,BSCICP03USM665S, OECD Business Confidence,2010-07-01
2636,2010-08-06,2010-07-01,9.5,UNRATE, Unemployment Rate,2010-07-01
42,2010-08-06,2010-07-01,107737.0,USPRIV, BLS private,2010-07-01
1814,2010-09-08,2010-07-01,2723.0,JTS1000JOL, Job Openings: Total Private,2010-07-01
2265,2013-06-03,2010-07-01,98.1490833379276,CSCICP03USM665S, OECD US Consumer Confidence,2010-07-01
212,2011-02-02,2010-07-01,106978.0,NPPTTL, ADP,2010-07-01
3131,2010-08-06,2010-07-01,6572.0,UEMP27OV, Unemployed for 27 Weeks,2010-07-01
2801,2010-08-06,2010-07-01,14599.0,UNEMPLOY, Unemployment Level,2010-07-01
1978,2010-09-08,2010-07-01,3960.0,JTS1000HIL,  Hires: Total Private ,2010-07-01
3461,2010-08-06,2010-07-01,64.6,CIVPART, Civilian Participation Rate,2010-07-01
1234,2010-07-15,2010-07-03,4681000.0,CCSA, Continued Claims ,2010-07-03
513,2010-07-08,2010-07-03,454000.0,ICSA, Initial Claims,2010-07-03
1235,2010-07-22,2010-07-10,4487000.0,CCSA, Continued Claims ,2010-07-10
514,2010-07-15,2010-07-10,429000.0,ICSA, Initial Claims,2010-07-10
1236,2010-07-29,2010-07-17,4565000.0,CCSA, Continued Claims ,2010-07-17
515,2010-07-22,2010-07-17,464000.0,ICSA, Initial Claims,2010-07-17
516,2010-07-29,2010-07-24,457000.0,ICSA, Initial Claims,2010-07-24
1237,2010-08-05,2010-07-24,4537000.0,CCSA, Continued Claims ,2010-07-24
1238,2010-08-12,2010-07-31,4452000.0,CCSA, Continued Claims ,2010-07-31
517,2010-08-05,2010-07-31,479000.0,ICSA, Initial Claims,2010-07-31
3276,2011-03-04,2010-08-01,16.7,U6Rate, Unemployed plus Marginally Attached ,2010-08-01
1979,2010-10-07,2010-08-01,3855.0,JTS1000HIL,  Hires: Total Private ,2010-08-01
2143,2010-10-07,2010-08-01,3785.0,JTS1000TSL,  Total Separations: Total Private ,2010-08-01
1815,2010-10-07,2010-08-01,2849.0,JTS1000JOL, Job Openings: Total Private,2010-08-01
43,2010-09-03,2010-08-01,107870.0,USPRIV, BLS private,2010-08-01
3462,2010-09-03,2010-08-01,64.7,CIVPART, Civilian Participation Rate,2010-08-01
2637,2010-09-03,2010-08-01,9.6,UNRATE, Unemployment Rate,2010-08-01
3132,2010-09-03,2010-08-01,6249.0,UEMP27OV, Unemployed for 27 Weeks,2010-08-01
2481,2013-06-03,2010-08-01,100.450861176355,BSCICP03USM665S, OECD Business Confidence,2010-08-01
210,2011-02-02,2010-08-01,107015.0,NPPTTL, ADP,2010-08-01
2268,2013-06-03,2010-08-01,97.9677772881613,CSCICP03USM665S, OECD US Consumer Confidence,2010-08-01
3620,2011-05-06,2010-08-01,8883.0,LNS12032194, Part-Time for Econ Reasons,2010-08-01
2967,2010-09-03,2010-08-01,154110.0,CLF16OV, Civilian Labor Force,2010-08-01
2802,2010-09-03,2010-08-01,14860.0,UNEMPLOY, Unemployment Level,2010-08-01
518,2010-08-12,2010-08-07,484000.0,ICSA, Initial Claims,2010-08-07
1239,2010-08-19,2010-08-07,4478000.0,CCSA, Continued Claims ,2010-08-07
1240,2010-08-26,2010-08-14,4456000.0,CCSA, Continued Claims ,2010-08-14
519,2010-08-19,2010-08-14,500000.0,ICSA, Initial Claims,2010-08-14
520,2010-08-26,2010-08-21,473000.0,ICSA, Initial Claims,2010-08-21
1241,2010-09-02,2010-08-21,4456000.0,CCSA, Continued Claims ,2010-08-21
521,2010-09-02,2010-08-28,472000.0,ICSA, Initial Claims,2010-08-28
1242,2010-09-09,2010-08-28,4478000.0,CCSA, Continued Claims ,2010-08-28
3463,2010-10-08,2010-09-01,64.7,CIVPART, Civilian Participation Rate,2010-09-01
206,2011-02-02,2010-09-01,107044.0,NPPTTL, ADP,2010-09-01
2638,2010-10-08,2010-09-01,9.6,UNRATE, Unemployment Rate,2010-09-01
2272,2013-06-03,2010-09-01,97.9146860461717,CSCICP03USM665S, OECD US Consumer Confidence,2010-09-01
2144,2010-11-09,2010-09-01,3807.0,JTS1000TSL,  Total Separations: Total Private ,2010-09-01
1816,2010-11-09,2010-09-01,2594.0,JTS1000JOL, Job Openings: Total Private,2010-09-01
3133,2010-10-08,2010-09-01,6123.0,UEMP27OV, Unemployed for 27 Weeks,2010-09-01
3632,2011-05-06,2010-09-01,9506.0,LNS12032194, Part-Time for Econ Reasons,2010-09-01
1980,2010-11-09,2010-09-01,3943.0,JTS1000HIL,  Hires: Total Private ,2010-09-01
44,2010-10-08,2010-09-01,107970.0,USPRIV, BLS private,2010-09-01
2968,2010-10-08,2010-09-01,154158.0,CLF16OV, Civilian Labor Force,2010-09-01
3277,2011-03-04,2010-09-01,17.1,U6Rate, Unemployed plus Marginally Attached ,2010-09-01
2803,2010-10-08,2010-09-01,14767.0,UNEMPLOY, Unemployment Level,2010-09-01
2480,2013-06-03,2010-09-01,100.560342786877,BSCICP03USM665S, OECD Business Confidence,2010-09-01
522,2010-09-09,2010-09-04,451000.0,ICSA, Initial Claims,2010-09-04
1243,2010-09-16,2010-09-04,4485000.0,CCSA, Continued Claims ,2010-09-04
523,2010-09-16,2010-09-11,450000.0,ICSA, Initial Claims,2010-09-11
1244,2010-09-23,2010-09-11,4489000.0,CCSA, Continued Claims ,2010-09-11
524,2010-09-23,2010-09-18,465000.0,ICSA, Initial Claims,2010-09-18
1245,2010-09-30,2010-09-18,4457000.0,CCSA, Continued Claims ,2010-09-18
1246,2010-10-07,2010-09-25,4462000.0,CCSA, Continued Claims ,2010-09-25
525,2010-09-30,2010-09-25,453000.0,ICSA, Initial Claims,2010-09-25
45,2010-11-05,2010-10-01,108222.0,USPRIV, BLS private,2010-10-01
1817,2010-12-07,2010-10-01,3027.0,JTS1000JOL, Job Openings: Total Private,2010-10-01
3464,2010-11-05,2010-10-01,64.5,CIVPART, Civilian Participation Rate,2010-10-01
1981,2010-12-07,2010-10-01,3929.0,JTS1000HIL,  Hires: Total Private ,2010-10-01
211,2011-02-02,2010-10-01,107123.0,NPPTTL, ADP,2010-10-01
2969,2010-11-05,2010-10-01,153904.0,CLF16OV, Civilian Labor Force,2010-10-01
2145,2010-12-07,2010-10-01,3768.0,JTS1000TSL,  Total Separations: Total Private ,2010-10-01
3134,2010-11-05,2010-10-01,6206.0,UEMP27OV, Unemployed for 27 Weeks,2010-10-01
3629,2011-05-06,2010-10-01,9100.0,LNS12032194, Part-Time for Econ Reasons,2010-10-01
2804,2010-11-05,2010-10-01,14843.0,UNEMPLOY, Unemployment Level,2010-10-01
2275,2013-06-03,2010-10-01,98.0175577769731,CSCICP03USM665S, OECD US Consumer Confidence,2010-10-01
2478,2013-06-03,2010-10-01,100.797831791181,BSCICP03USM665S, OECD Business Confidence,2010-10-01
2639,2010-11-05,2010-10-01,9.6,UNRATE, Unemployment Rate,2010-10-01
3278,2011-03-04,2010-10-01,17.0,U6Rate, Unemployed plus Marginally Attached ,2010-10-01
1247,2010-10-14,2010-10-02,4399000.0,CCSA, Continued Claims ,2010-10-02
526,2010-10-07,2010-10-02,445000.0,ICSA, Initial Claims,2010-10-02
527,2010-10-14,2010-10-09,462000.0,ICSA, Initial Claims,2010-10-09
1248,2010-10-21,2010-10-09,4441000.0,CCSA, Continued Claims ,2010-10-09
528,2010-10-21,2010-10-16,452000.0,ICSA, Initial Claims,2010-10-16
1249,2010-10-28,2010-10-16,4356000.0,CCSA, Continued Claims ,2010-10-16
1250,2010-11-04,2010-10-23,4340000.0,CCSA, Continued Claims ,2010-10-23
529,2010-10-28,2010-10-23,434000.0,ICSA, Initial Claims,2010-10-23
530,2010-11-04,2010-10-30,457000.0,ICSA, Initial Claims,2010-10-30
1251,2010-11-10,2010-10-30,4301000.0,CCSA, Continued Claims ,2010-10-30
3618,2011-05-06,2010-11-01,8960.0,LNS12032194, Part-Time for Econ Reasons,2010-11-01
2640,2010-12-03,2010-11-01,9.8,UNRATE, Unemployment Rate,2010-11-01
2805,2010-12-03,2010-11-01,15119.0,UNEMPLOY, Unemployment Level,2010-11-01
2278,2013-06-03,2010-11-01,98.2862768037705,CSCICP03USM665S, OECD US Consumer Confidence,2010-11-01
46,2010-12-03,2010-11-01,108278.0,USPRIV, BLS private,2010-11-01
1818,2011-01-11,2010-11-01,2906.0,JTS1000JOL, Job Openings: Total Private,2010-11-01
2970,2010-12-03,2010-11-01,154007.0,CLF16OV, Civilian Labor Force,2010-11-01
2476,2013-06-03,2010-11-01,101.078184352018,BSCICP03USM665S, OECD Business Confidence,2010-11-01
208,2011-02-02,2010-11-01,107220.0,NPPTTL, ADP,2010-11-01
2146,2011-01-11,2010-11-01,3815.0,JTS1000TSL,  Total Separations: Total Private ,2010-11-01
3135,2010-12-03,2010-11-01,6313.0,UEMP27OV, Unemployed for 27 Weeks,2010-11-01
1982,2011-01-11,2010-11-01,3916.0,JTS1000HIL,  Hires: Total Private ,2010-11-01
3279,2011-03-04,2010-11-01,17.0,U6Rate, Unemployed plus Marginally Attached ,2010-11-01
3465,2010-12-03,2010-11-01,64.5,CIVPART, Civilian Participation Rate,2010-11-01
531,2010-11-10,2010-11-06,435000.0,ICSA, Initial Claims,2010-11-06
1252,2010-11-18,2010-11-06,4295000.0,CCSA, Continued Claims ,2010-11-06
1253,2010-11-24,2010-11-13,4182000.0,CCSA, Continued Claims ,2010-11-13
532,2010-11-18,2010-11-13,439000.0,ICSA, Initial Claims,2010-11-13
1254,2010-12-02,2010-11-20,4270000.0,CCSA, Continued Claims ,2010-11-20
533,2010-11-24,2010-11-20,407000.0,ICSA, Initial Claims,2010-11-20
534,2010-12-02,2010-11-27,436000.0,ICSA, Initial Claims,2010-11-27
1255,2010-12-09,2010-11-27,4086000.0,CCSA, Continued Claims ,2010-11-27
1983,2011-02-08,2010-12-01,3883.0,JTS1000HIL,  Hires: Total Private ,2010-12-01
2474,2013-06-03,2010-12-01,101.358636912895,BSCICP03USM665S, OECD Business Confidence,2010-12-01
2641,2011-01-07,2010-12-01,9.4,UNRATE, Unemployment Rate,2010-12-01
204,2011-02-02,2010-12-01,107467.0,NPPTTL, ADP,2010-12-01
3284,2011-03-04,2010-12-01,16.7,U6Rate, Unemployed plus Marginally Attached ,2010-12-01
2806,2011-01-07,2010-12-01,14485.0,UNEMPLOY, Unemployment Level,2010-12-01
2282,2013-06-03,2010-12-01,98.5482365180611,CSCICP03USM665S, OECD US Consumer Confidence,2010-12-01
2147,2011-02-08,2010-12-01,3842.0,JTS1000TSL,  Total Separations: Total Private ,2010-12-01
3136,2011-01-07,2010-12-01,6441.0,UEMP27OV, Unemployed for 27 Weeks,2010-12-01
3628,2011-05-06,2010-12-01,8931.0,LNS12032194, Part-Time for Econ Reasons,2010-12-01
2971,2011-01-07,2010-12-01,153690.0,CLF16OV, Civilian Labor Force,2010-12-01
47,2011-01-07,2010-12-01,108453.0,USPRIV, BLS private,2010-12-01
1819,2011-02-08,2010-12-01,2635.0,JTS1000JOL, Job Openings: Total Private,2010-12-01
3466,2011-01-07,2010-12-01,64.3,CIVPART, Civilian Participation Rate,2010-12-01
1256,2010-12-16,2010-12-04,4135000.0,CCSA, Continued Claims ,2010-12-04
535,2010-12-09,2010-12-04,421000.0,ICSA, Initial Claims,2010-12-04
1257,2010-12-23,2010-12-11,4064000.0,CCSA, Continued Claims ,2010-12-11
536,2010-12-16,2010-12-11,420000.0,ICSA, Initial Claims,2010-12-11
1258,2010-12-30,2010-12-18,4128000.0,CCSA, Continued Claims ,2010-12-18
537,2010-12-23,2010-12-18,420000.0,ICSA, Initial Claims,2010-12-18
1259,2011-01-06,2010-12-25,4103000.0,CCSA, Continued Claims ,2010-12-25
538,2010-12-30,2010-12-25,388000.0,ICSA, Initial Claims,2010-12-25
539,2011-01-06,2011-01-01,409000.0,ICSA, Initial Claims,2011-01-01
1260,2011-01-13,2011-01-01,3879000.0,CCSA, Continued Claims ,2011-01-01
48,2011-02-04,2011-01-01,108030.0,USPRIV, BLS private,2011-01-01
2283,2013-06-03,2011-01-01,98.6613121537886,CSCICP03USM665S, OECD US Consumer Confidence,2011-01-01
2148,2011-03-11,2011-01-01,3297.0,JTS1000TSL,  Total Separations: Total Private ,2011-01-01
209,2011-02-02,2011-01-01,107654.0,NPPTTL, ADP,2011-01-01
3137,2011-02-04,2011-01-01,6210.0,UEMP27OV, Unemployed for 27 Weeks,2011-01-01
2807,2011-02-04,2011-01-01,13863.0,UNEMPLOY, Unemployment Level,2011-01-01
3280,2011-03-04,2011-01-01,16.1,U6Rate, Unemployed plus Marginally Attached ,2011-01-01
2473,2013-06-03,2011-01-01,101.646253362337,BSCICP03USM665S, OECD Business Confidence,2011-01-01
1820,2011-03-11,2011-01-01,2454.0,JTS1000JOL, Job Openings: Total Private,2011-01-01
1984,2011-03-11,2011-01-01,3453.0,JTS1000HIL,  Hires: Total Private ,2011-01-01
3585,2011-05-06,2011-01-01,8407.0,LNS12032194, Part-Time for Econ Reasons,2011-01-01
2642,2011-02-04,2011-01-01,9.0,UNRATE, Unemployment Rate,2011-01-01
2972,2011-02-04,2011-01-01,153186.0,CLF16OV, Civilian Labor Force,2011-01-01
3467,2011-02-04,2011-01-01,64.2,CIVPART, Civilian Participation Rate,2011-01-01
1261,2011-01-20,2011-01-08,3861000.0,CCSA, Continued Claims ,2011-01-08
540,2011-01-13,2011-01-08,445000.0,ICSA, Initial Claims,2011-01-08
1262,2011-01-27,2011-01-15,3991000.0,CCSA, Continued Claims ,2011-01-15
541,2011-01-20,2011-01-15,404000.0,ICSA, Initial Claims,2011-01-15
542,2011-01-27,2011-01-22,454000.0,ICSA, Initial Claims,2011-01-22
1263,2011-02-03,2011-01-22,3925000.0,CCSA, Continued Claims ,2011-01-22
1264,2011-02-10,2011-01-29,3888000.0,CCSA, Continued Claims ,2011-01-29
543,2011-02-03,2011-01-29,415000.0,ICSA, Initial Claims,2011-01-29
2643,2011-03-04,2011-02-01,8.9,UNRATE, Unemployment Rate,2011-02-01
2149,2011-04-13,2011-02-01,3512.0,JTS1000TSL,  Total Separations: Total Private ,2011-02-01
49,2011-03-04,2011-02-01,108298.0,USPRIV, BLS private,2011-02-01
2973,2011-03-04,2011-02-01,153246.0,CLF16OV, Civilian Labor Force,2011-02-01
3592,2011-05-06,2011-02-01,8340.0,LNS12032194, Part-Time for Econ Reasons,2011-02-01
3138,2011-03-04,2011-02-01,5993.0,UEMP27OV, Unemployed for 27 Weeks,2011-02-01
214,2011-03-02,2011-02-01,108099.0,NPPTTL, ADP,2011-02-01
3281,2011-03-04,2011-02-01,15.9,U6Rate, Unemployed plus Marginally Attached ,2011-02-01
3468,2011-03-04,2011-02-01,64.2,CIVPART, Civilian Participation Rate,2011-02-01
1985,2011-04-13,2011-02-01,3646.0,JTS1000HIL,  Hires: Total Private ,2011-02-01
2313,2013-06-03,2011-02-01,98.6100821558109,CSCICP03USM665S, OECD US Consumer Confidence,2011-02-01
2808,2011-03-04,2011-02-01,13673.0,UNEMPLOY, Unemployment Level,2011-02-01
1821,2011-04-13,2011-02-01,2759.0,JTS1000JOL, Job Openings: Total Private,2011-02-01
2471,2013-06-03,2011-02-01,101.783887794191,BSCICP03USM665S, OECD Business Confidence,2011-02-01
1265,2011-02-17,2011-02-05,3911000.0,CCSA, Continued Claims ,2011-02-05
544,2011-02-10,2011-02-05,383000.0,ICSA, Initial Claims,2011-02-05
545,2011-02-17,2011-02-12,410000.0,ICSA, Initial Claims,2011-02-12
1266,2011-02-24,2011-02-12,3790000.0,CCSA, Continued Claims ,2011-02-12
546,2011-02-24,2011-02-19,391000.0,ICSA, Initial Claims,2011-02-19
1267,2011-03-03,2011-02-19,3774000.0,CCSA, Continued Claims ,2011-02-19
1268,2011-03-10,2011-02-26,3771000.0,CCSA, Continued Claims ,2011-02-26
547,2011-03-03,2011-02-26,368000.0,ICSA, Initial Claims,2011-02-26
2469,2013-06-03,2011-03-01,101.6717521872,BSCICP03USM665S, OECD Business Confidence,2011-03-01
3304,2011-04-01,2011-03-01,15.7,U6Rate, Unemployed plus Marginally Attached ,2011-03-01
1986,2011-05-11,2011-03-01,3781.0,JTS1000HIL,  Hires: Total Private ,2011-03-01
215,2011-03-30,2011-03-01,108292.0,NPPTTL, ADP,2011-03-01
3598,2011-05-06,2011-03-01,8433.0,LNS12032194, Part-Time for Econ Reasons,2011-03-01
3139,2011-04-01,2011-03-01,6122.0,UEMP27OV, Unemployed for 27 Weeks,2011-03-01
2974,2011-04-01,2011-03-01,153406.0,CLF16OV, Civilian Labor Force,2011-03-01
1822,2011-05-11,2011-03-01,2770.0,JTS1000JOL, Job Openings: Total Private,2011-03-01
50,2011-04-01,2011-03-01,108572.0,USPRIV, BLS private,2011-03-01
2150,2011-05-11,2011-03-01,3562.0,JTS1000TSL,  Total Separations: Total Private ,2011-03-01
2644,2011-04-01,2011-03-01,8.8,UNRATE, Unemployment Rate,2011-03-01
2809,2011-04-01,2011-03-01,13542.0,UNEMPLOY, Unemployment Level,2011-03-01
2323,2013-06-03,2011-03-01,98.3556993287148,CSCICP03USM665S, OECD US Consumer Confidence,2011-03-01
3469,2011-04-01,2011-03-01,64.2,CIVPART, Civilian Participation Rate,2011-03-01
1269,2011-03-17,2011-03-05,3706000.0,CCSA, Continued Claims ,2011-03-05
548,2011-03-10,2011-03-05,397000.0,ICSA, Initial Claims,2011-03-05
549,2011-03-17,2011-03-12,385000.0,ICSA, Initial Claims,2011-03-12
1270,2011-03-24,2011-03-12,3721000.0,CCSA, Continued Claims ,2011-03-12
550,2011-03-24,2011-03-19,382000.0,ICSA, Initial Claims,2011-03-19
1271,2011-03-31,2011-03-19,3714000.0,CCSA, Continued Claims ,2011-03-19
551,2011-03-31,2011-03-26,388000.0,ICSA, Initial Claims,2011-03-26
1272,2011-04-07,2011-03-26,3723000.0,CCSA, Continued Claims ,2011-03-26
2645,2011-05-06,2011-04-01,9.0,UNRATE, Unemployment Rate,2011-04-01
216,2011-05-04,2011-04-01,108474.0,NPPTTL, ADP,2011-04-01
3305,2011-05-06,2011-04-01,15.9,U6Rate, Unemployed plus Marginally Attached ,2011-04-01
3140,2011-05-06,2011-04-01,5839.0,UEMP27OV, Unemployed for 27 Weeks,2011-04-01
1987,2011-06-07,2011-04-01,3710.0,JTS1000HIL,  Hires: Total Private ,2011-04-01
2483,2013-06-03,2011-04-01,101.262612615504,BSCICP03USM665S, OECD Business Confidence,2011-04-01
3604,2011-05-06,2011-04-01,8600.0,LNS12032194, Part-Time for Econ Reasons,2011-04-01
2151,2011-06-07,2011-04-01,3455.0,JTS1000TSL,  Total Separations: Total Private ,2011-04-01
1823,2011-06-07,2011-04-01,2657.0,JTS1000JOL, Job Openings: Total Private,2011-04-01
2810,2011-05-06,2011-04-01,13747.0,UNEMPLOY, Unemployment Level,2011-04-01
2975,2011-05-06,2011-04-01,153421.0,CLF16OV, Civilian Labor Force,2011-04-01
3470,2011-05-06,2011-04-01,64.2,CIVPART, Civilian Participation Rate,2011-04-01
2317,2013-06-03,2011-04-01,98.2947062048292,CSCICP03USM665S, OECD US Consumer Confidence,2011-04-01
51,2011-05-06,2011-04-01,108862.0,USPRIV, BLS private,2011-04-01
552,2011-04-07,2011-04-02,382000.0,ICSA, Initial Claims,2011-04-02
1273,2011-04-14,2011-04-02,3680000.0,CCSA, Continued Claims ,2011-04-02
553,2011-04-14,2011-04-09,412000.0,ICSA, Initial Claims,2011-04-09
1274,2011-04-21,2011-04-09,3695000.0,CCSA, Continued Claims ,2011-04-09
1275,2011-04-28,2011-04-16,3641000.0,CCSA, Continued Claims ,2011-04-16
554,2011-04-21,2011-04-16,403000.0,ICSA, Initial Claims,2011-04-16
1276,2011-05-05,2011-04-23,3733000.0,CCSA, Continued Claims ,2011-04-23
555,2011-04-28,2011-04-23,429000.0,ICSA, Initial Claims,2011-04-23
556,2011-05-05,2011-04-30,474000.0,ICSA, Initial Claims,2011-04-30
1277,2011-05-12,2011-04-30,3756000.0,CCSA, Continued Claims ,2011-04-30
3306,2011-06-03,2011-05-01,15.8,U6Rate, Unemployed plus Marginally Attached ,2011-05-01
2811,2011-06-03,2011-05-01,13914.0,UNEMPLOY, Unemployment Level,2011-05-01
3141,2011-06-03,2011-05-01,6200.0,UEMP27OV, Unemployed for 27 Weeks,2011-05-01
3471,2011-06-03,2011-05-01,64.2,CIVPART, Civilian Participation Rate,2011-05-01
217,2011-06-01,2011-05-01,108506.0,NPPTTL, ADP,2011-05-01
2976,2011-06-03,2011-05-01,153693.0,CLF16OV, Civilian Labor Force,2011-05-01
2152,2011-07-12,2011-05-01,3761.0,JTS1000TSL,  Total Separations: Total Private ,2011-05-01
2337,2013-06-03,2011-05-01,98.2783106893954,CSCICP03USM665S, OECD US Consumer Confidence,2011-05-01
1824,2011-07-12,2011-05-01,2657.0,JTS1000JOL, Job Openings: Total Private,2011-05-01
2485,2013-06-03,2011-05-01,100.629647974847,BSCICP03USM665S, OECD Business Confidence,2011-05-01
1988,2011-07-12,2011-05-01,3797.0,JTS1000HIL,  Hires: Total Private ,2011-05-01
3636,2011-06-03,2011-05-01,8548.0,LNS12032194, Part-Time for Econ Reasons,2011-05-01
52,2011-06-03,2011-05-01,108916.0,USPRIV, BLS private,2011-05-01
2646,2011-06-03,2011-05-01,9.1,UNRATE, Unemployment Rate,2011-05-01
1278,2011-05-19,2011-05-07,3711000.0,CCSA, Continued Claims ,2011-05-07
557,2011-05-12,2011-05-07,434000.0,ICSA, Initial Claims,2011-05-07
1279,2011-05-26,2011-05-14,3690000.0,CCSA, Continued Claims ,2011-05-14
558,2011-05-19,2011-05-14,409000.0,ICSA, Initial Claims,2011-05-14
559,2011-05-26,2011-05-21,424000.0,ICSA, Initial Claims,2011-05-21
1280,2011-06-02,2011-05-21,3711000.0,CCSA, Continued Claims ,2011-05-21
560,2011-06-02,2011-05-28,422000.0,ICSA, Initial Claims,2011-05-28
1281,2011-06-09,2011-05-28,3676000.0,CCSA, Continued Claims ,2011-05-28
1825,2011-08-10,2011-06-01,2794.0,JTS1000JOL, Job Openings: Total Private,2011-06-01
3637,2011-07-08,2011-06-01,8552.0,LNS12032194, Part-Time for Econ Reasons,2011-06-01
3307,2011-07-08,2011-06-01,16.2,U6Rate, Unemployed plus Marginally Attached ,2011-06-01
2977,2011-07-08,2011-06-01,153421.0,CLF16OV, Civilian Labor Force,2011-06-01
2812,2011-07-08,2011-06-01,14087.0,UNEMPLOY, Unemployment Level,2011-06-01
218,2011-07-07,2011-06-01,108677.0,NPPTTL, ADP,2011-06-01
2153,2011-08-10,2011-06-01,3716.0,JTS1000TSL,  Total Separations: Total Private ,2011-06-01
2329,2013-06-03,2011-06-01,97.9574538362956,CSCICP03USM665S, OECD US Consumer Confidence,2011-06-01
3472,2011-07-08,2011-06-01,64.1,CIVPART, Civilian Participation Rate,2011-06-01
1989,2011-08-10,2011-06-01,3796.0,JTS1000HIL,  Hires: Total Private ,2011-06-01
53,2011-07-08,2011-06-01,108953.0,USPRIV, BLS private,2011-06-01
3142,2011-07-08,2011-06-01,6289.0,UEMP27OV, Unemployed for 27 Weeks,2011-06-01
2647,2011-07-08,2011-06-01,9.2,UNRATE, Unemployment Rate,2011-06-01
2486,2013-06-03,2011-06-01,100.198482031138,BSCICP03USM665S, OECD Business Confidence,2011-06-01
1282,2011-06-16,2011-06-04,3675000.0,CCSA, Continued Claims ,2011-06-04
561,2011-06-09,2011-06-04,427000.0,ICSA, Initial Claims,2011-06-04
1283,2011-06-23,2011-06-11,3697000.0,CCSA, Continued Claims ,2011-06-11
562,2011-06-16,2011-06-11,414000.0,ICSA, Initial Claims,2011-06-11
1284,2011-06-30,2011-06-18,3702000.0,CCSA, Continued Claims ,2011-06-18
563,2011-06-23,2011-06-18,429000.0,ICSA, Initial Claims,2011-06-18
1285,2011-07-07,2011-06-25,3681000.0,CCSA, Continued Claims ,2011-06-25
564,2011-06-30,2011-06-25,428000.0,ICSA, Initial Claims,2011-06-25
1826,2011-09-07,2011-07-01,2900.0,JTS1000JOL, Job Openings: Total Private,2011-07-01
54,2011-08-05,2011-07-01,109156.0,USPRIV, BLS private,2011-07-01
2978,2011-08-05,2011-07-01,153228.0,CLF16OV, Civilian Labor Force,2011-07-01
2813,2011-08-05,2011-07-01,13931.0,UNEMPLOY, Unemployment Level,2011-07-01
2648,2011-08-05,2011-07-01,9.1,UNRATE, Unemployment Rate,2011-07-01
1990,2011-09-07,2011-07-01,3720.0,JTS1000HIL,  Hires: Total Private ,2011-07-01
2500,2013-06-03,2011-07-01,99.8525956740362,BSCICP03USM665S, OECD Business Confidence,2011-07-01
3638,2011-08-05,2011-07-01,8396.0,LNS12032194, Part-Time for Econ Reasons,2011-07-01
